Word,FREQcount,CDcount,FREQlow,Cdlow,SUBTLWF,SUBTLCD,Lg10WF,Lg10CD
unconstitutional,16,16,16,16,0.31,0.19,1.2304,1.2304
unconstrained,4,4,4,4,0.08,0.05,0.6990,0.6990
uncontaminated,3,3,3,3,0.06,0.04,0.6021,0.6021
uncontestable,2,2,2,2,0.04,0.02,0.4771,0.4771
uncontested,5,5,5,5,0.10,0.06,0.7782,0.7782
uncontrollable,56,54,54,53,1.10,0.64,1.7559,1.7404
uncontrollably,15,15,15,15,0.29,0.18,1.2041,1.2041
uncontrolled,15,14,13,13,0.29,0.17,1.2041,1.1761
uncontroversial,8,2,8,2,0.16,0.02,0.9542,0.4771
unconventional,44,42,41,39,0.86,0.50,1.6532,1.6335
unconventionality,2,2,2,2,0.04,0.02,0.4771,0.4771
unconvinced,8,8,8,8,0.16,0.10,0.9542,0.9542
unconvincing,5,5,5,5,0.10,0.06,0.7782,0.7782
uncooked,5,5,5,5,0.10,0.06,0.7782,0.7782
uncool,66,55,62,54,1.29,0.66,1.8261,1.7482
uncooperative,32,28,29,25,0.63,0.33,1.5185,1.4624
uncoordinated,7,6,7,6,0.14,0.07,0.9031,0.8451
uncork,12,10,9,9,0.24,0.12,1.1139,1.0414
uncorked,3,3,3,3,0.06,0.04,0.6021,0.6021
uncorking,2,2,2,2,0.04,0.02,0.4771,0.4771
uncorroborated,4,4,4,4,0.08,0.05,0.6990,0.6990
uncorrupted,3,3,3,3,0.06,0.04,0.6021,0.6021
uncounted,4,4,4,4,0.08,0.05,0.6990,0.6990
uncouple,8,6,5,4,0.16,0.07,0.9542,0.8451
uncoupled,3,3,3,3,0.06,0.04,0.6021,0.6021
uncouth,29,27,27,26,0.57,0.32,1.4771,1.4472
uncover,98,87,90,80,1.92,1.04,1.9956,1.9445
uncovered,130,118,128,117,2.55,1.41,2.1173,2.0755
uncovering,21,19,18,17,0.41,0.23,1.3424,1.3010
uncovers,8,8,8,8,0.16,0.10,0.9542,0.9542
uncreative,2,2,2,2,0.04,0.02,0.4771,0.4771
uncredited,2,2,2,2,0.04,0.02,0.4771,0.4771
uncritical,2,2,2,2,0.04,0.02,0.4771,0.4771
uncross,5,5,4,4,0.10,0.06,0.7782,0.7782
uncrossed,5,3,5,3,0.10,0.04,0.7782,0.6021
uncrowned,3,3,3,3,0.06,0.04,0.6021,0.6021
unction,8,5,7,4,0.16,0.06,0.9542,0.7782
unctuous,2,1,2,1,0.04,0.01,0.4771,0.3010
uncuffed,3,3,3,3,0.06,0.04,0.6021,0.6021
